,batting_team,bowling_team,city,current_score,crr,balls_left,wickets_left,last_five,total_runs
0,Pakistan,Australia,Dubai,76,6.705882352941177,0,9,39.0,151
1,Sri Lanka,India,Punjab,176,9.962264150943396,0,3,35.0,206
2,Bangladesh,West Indies,Shere,206,10.47457627118644,0,6,55.0,211
3,England,Pakistan,Old,56,8.195121951219512,0,9,48.0,135
4,England,New Zealand,Seddon,37,7.4,0,8,37.0,194
5,Bangladesh,Pakistan,Gaddafi,42,5.142857142857143,0,7,24.0,136
6,New Zealand,Bangladesh,Bay,61,5.809523809523809,0,7,20.0,194
7,England,Afghanistan,R,73,7.551724137931035,0,8,45.0,196
8,Pakistan,South Africa,Dubai,51,4.191780821917808,0,5,26.0,98
9,Australia,South Africa,New,88,6.6835443037974684,0,5,29.0,166
10,Pakistan,Bangladesh,Shere,114,6.772277227722772,0,4,27.0,135
11,West Indies,India,Central,78,7.428571428571429,0,6,26.0,143
12,Pakistan,India,Eden,52,4.9523809523809526,0,8,25.0,118
13,England,Australia,Melbourne,110,6.285714285714286,0,3,21.0,130
14,South Africa,England,Newlands,107,6.42,0,4,24.0,154
15,South Africa,West Indies,New,130,11.64179104477612,0,7,60.0,231
16,West Indies,England,Kennington,79,6.405405405405405,0,8,23.0,125
17,England,Afghanistan,R,115,7.582417582417582,0,8,39.0,196
18,Pakistan,Bangladesh,Shere,26,3.5454545454545454,0,7,18.0,129
19,England,Afghanistan,R,71,7.473684210526316,0,8,44.0,196
20,Bangladesh,Australia,M,54,6.230769230769231,0,8,35.0,156
21,New Zealand,Australia,Westpac,40,4.8,0,7,31.0,118
22,Sri Lanka,New Zealand,Eden,60,5.294117647058823,0,4,17.0,115
23,Sri Lanka,Australia,Pallekele,56,8.615384615384615,0,9,51.0,157
24,West Indies,Pakistan,Sheikh,76,4.903225806451613,0,5,25.0,103
25,India,South Africa,Newlands,83,7.904761904761905,0,8,29.0,172
26,India,West Indies,Wankhede,144,8.64,0,8,47.0,192
27,New Zealand,South Africa,SuperSport,109,8.837837837837839,0,7,40.0,177
28,India,South Africa,R,88,7.04,0,6,36.0,152
29,India,New Zealand,Seddon,98,8.4,0,7,26.0,179
30,New Zealand,Pakistan,Kensington,104,6.43298969072165,0,5,33.0,133
31,Pakistan,England,Kensington,77,7.451612903225806,0,8,36.0,147
32,Pakistan,South Africa,SuperSport,83,8.440677966101696,0,8,37.0,168
33,Australia,New Zealand,Sydney,133,7.321100917431193,0,5,43.0,150
34,Afghanistan,West Indies,Warner,98,5.113043478260869,0,1,40.0,110
35,South Africa,New Zealand,Eden,139,9.266666666666667,0,7,41.0,185
36,Pakistan,South Africa,Sheikh,51,5.1,0,5,22.0,120
37,Sri Lanka,Pakistan,R,30,5.454545454545454,0,10,25.0,139
38,West Indies,Sri Lanka,R,43,8.32258064516129,0,10,43.0,162
39,South Africa,England,Newlands,57,9.5,0,9,51.0,179
40,South Africa,Bangladesh,Shere,102,8.869565217391305,0,7,44.0,169
41,India,Sri Lanka,Beausejour,134,8.463157894736842,0,8,38.0,163
42,Pakistan,Bangladesh,Eden,99,8.865671641791044,0,9,43.0,201
43,Afghanistan,West Indies,Vidarbha,53,4.892307692307693,0,6,20.0,123
44,India,Australia,Melbourne,85,8.793103448275861,0,10,42.0,184
45,Sri Lanka,Australia,Melbourne,142,7.1,0,4,38.0,142
46,Australia,Pakistan,Dubai,105,5.943396226415095,0,2,20.0,108
47,New Zealand,Sri Lanka,New,34,5.666666666666667,0,8,31.0,164
48,Sri Lanka,Bangladesh,R.Premadasa,53,5.129032258064516,0,5,21.0,159
49,New Zealand,India,Westpac,201,10.486956521739131,0,4,47.0,219
50,India,West Indies,Queen's,106,6.556701030927835,0,6,37.0,159
51,South Africa,New Zealand,Eden,137,8.74468085106383,0,4,48.0,165
52,New Zealand,Sri Lanka,Pallekele,159,8.833333333333334,0,6,54.0,174
53,Bangladesh,Pakistan,Newlands,57,7.953488372093023,0,9,42.0,140
54,South Africa,England,Newlands,96,7.024390243902439,0,7,34.0,191
55,Pakistan,England,Kensington,102,7.0344827586206895,0,6,31.0,147
56,Bangladesh,Sri Lanka,Shere,44,6.285714285714286,0,7,42.0,147
57,Sri Lanka,West Indies,Shere,121,7.188118811881188,0,6,37.0,160
58,Australia,Pakistan,Beausejour,86,8.745762711864407,0,8,38.0,191
59,South Africa,Australia,SuperSport,36,5.837837837837838,0,8,27.0,156
60,Bangladesh,India,Shere,110,8.048780487804878,0,5,47.0,120
61,South Africa,Pakistan,The,100,7.228915662650603,0,8,42.0,188
62,Sri Lanka,India,Wankhede,113,6.220183486238532,0,3,25.0,135
63,West Indies,Australia,R,53,8.833333333333334,0,8,45.0,191
64,New Zealand,Australia,Sydney,83,5.595505617977528,0,5,33.0,117
65,New Zealand,Pakistan,Newlands,33,6.6,0,10,33.0,143
66,South Africa,Pakistan,R,98,5.9393939393939394,0,6,39.0,133
67,South Africa,England,Zahur,141,8.294117647058824,0,7,43.0,196
68,Sri Lanka,Pakistan,Sheikh,34,6.8,0,8,34.0,102
69,South Africa,England,Newlands,84,6.904109589041096,0,7,28.0,191
70,Sri Lanka,Pakistan,Dubai,184,9.945945945945946,0,8,51.0,211
71,Pakistan,Bangladesh,Shere,86,6.531645569620253,0,7,37.0,141
72,England,Netherlands,Lord's,79,8.618181818181819,0,10,46.0,162
73,West Indies,Bangladesh,Shere,122,8.224719101123595,0,6,41.0,197
74,New Zealand,Sri Lanka,Westpac,101,9.934426229508198,0,8,37.0,162
75,Australia,South Africa,New,110,7.096774193548387,0,5,38.0,166
76,Pakistan,West Indies,Queen's,78,5.7073170731707314,0,6,35.0,132
77,Sri Lanka,Pakistan,Dubai,43,6.615384615384615,0,8,34.0,145
78,India,England,Old,79,7.9,0,9,39.0,165
79,Bangladesh,Australia,Newlands,59,6.321428571428571,0,9,34.0,123
80,India,South Africa,R,143,7.526315789473684,0,5,40.0,152
81,Sri Lanka,Pakistan,Sheikh,43,6.789473684210527,0,10,38.0,124
82,Australia,South Africa,Kingsmead,97,8.314285714285715,0,5,26.0,157
83,South Africa,England,Newlands,183,9.384615384615383,0,7,76.0,191
84,South Africa,England,Newlands,159,8.442477876106194,0,7,61.0,191
85,Bangladesh,Australia,Shere,51,6.51063829787234,0,8,43.0,153
86,South Africa,Sri Lanka,Newlands,42,7.636363636363637,0,9,40.0,169
87,Pakistan,New Zealand,Dubai,64,7.245283018867925,0,8,44.0,161
88,England,India,Old,109,7.785714285714286,0,5,33.0,159
89,New Zealand,England,Kennington,165,9.801980198019802,0,7,45.0,201
90,South Africa,India,Trent,99,6.387096774193548,0,7,29.0,130
91,West Indies,South Africa,New,109,10.548387096774194,0,10,56.0,205
92,Australia,South Africa,New,60,7.2,0,8,44.0,166
93,Bangladesh,Sri Lanka,Shere,129,9.325301204819278,0,7,36.0,193
94,Sri Lanka,India,R,122,7.956521739130435,0,7,41.0,171
95,Bangladesh,South Africa,Newlands,122,7.32,0,3,20.0,144
96,Sri Lanka,India,Punjab,128,10.971428571428572,0,7,47.0,206
97,India,West Indies,Wankhede,127,8.561797752808989,0,9,42.0,192
98,West Indies,Pakistan,Kensington,56,4.54054054054054,0,4,18.0,111
99,Pakistan,South Africa,SuperSport,98,9.966101694915254,0,9,62.0,195
100,Pakistan,New Zealand,Seddon,67,6.0,0,7,32.0,168
101,Australia,England,Kensington,143,7.333333333333333,0,4,52.0,147
102,Sri Lanka,Pakistan,Gaddafi,106,6.838709677419355,0,6,30.0,147
103,New Zealand,Pakistan,Dubai,46,8.903225806451612,0,10,40.0,153
104,South Africa,Sri Lanka,The,177,9.398230088495575,0,8,61.0,198
105,Bangladesh,South Africa,Newlands,121,7.484536082474227,0,3,19.0,144
106,West Indies,South Africa,New,42,4.846153846153846,0,7,18.0,131
107,Bangladesh,Pakistan,Gaddafi,106,6.36,0,6,32.0,136
108,West Indies,Australia,R,112,8.50632911392405,0,7,32.0,191
109,South Africa,West Indies,Kingsmead,62,10.333333333333334,0,10,55.0,195
110,India,New Zealand,Bay,104,7.609756097560975,0,8,36.0,163
111,India,England,Wankhede,108,7.714285714285714,0,6,31.0,177
112,South Africa,New Zealand,New,82,9.11111111111111,0,10,48.0,133
113,New Zealand,Pakistan,Newlands,36,6.75,0,10,36.0,143
114,New Zealand,South Africa,SuperSport,130,8.96551724137931,0,6,46.0,177
